agent1,agent2,num_agents_scene,common_start_frame,common_end_frame,interaction_bool,path_sharing_bool,start_path_sharing_frame_difference,real_time_closest_distance,scene
9,4,11,1,18,False,False,,23.373978699911675,scene-0304
9,1,11,2,18,False,False,,56.1949313156265,scene-0304
9,3,11,3,18,False,False,,36.180054684027624,scene-0304
9,7,11,13,18,False,False,,62.54011869805528,scene-0304
9,0,11,14,18,False,False,,103.13181951949771,scene-0304
6,4,11,1,26,False,False,,36.16594128663639,scene-0304
6,1,11,2,21,False,False,,12.701260414536383,scene-0304
6,3,11,3,25,False,False,,17.117332269168745,scene-0304
6,7,11,13,26,False,False,,8.712668201520948,scene-0304
6,0,11,14,26,False,False,,8.731890465443684,scene-0304
6,2,11,17,26,False,False,,8.10940992594047,scene-0304
6,8,11,24,26,False,False,,10.705499381762207,scene-0304
4,1,11,2,21,False,False,,39.013571151570815,scene-0304
4,3,11,3,25,False,False,,16.394727938255855,scene-0304
4,7,11,13,32,False,False,,10.70436222456137,scene-0304
4,0,11,14,32,False,False,,9.048131487481617,scene-0304
4,2,11,17,32,False,False,,9.255655174441923,scene-0304
4,8,11,24,36,False,False,,9.962187237598508,scene-0304
1,3,11,3,21,False,False,,19.949578529775206,scene-0304
1,7,11,13,21,False,False,,3.7281190196659453,scene-0304
1,0,11,14,21,False,False,,34.870824598581414,scene-0304
1,2,11,17,21,False,False,,13.620319176484376,scene-0304
3,7,11,13,25,False,False,,13.263087339529013,scene-0304
3,0,11,14,25,False,False,,52.21256257194694,scene-0304
3,2,11,17,25,False,False,,32.20245551686589,scene-0304
7,0,11,14,32,False,False,,36.885932950560836,scene-0304
7,2,11,17,32,False,False,,16.905889976620262,scene-0304
7,8,11,24,32,False,False,,63.316679121426425,scene-0304
0,2,11,17,32,False,False,,19.22947407830554,scene-0304
0,8,11,24,32,False,False,,26.432039604673758,scene-0304
2,8,11,24,32,False,False,,45.66151328516994,scene-0304
99,1,4,1,34,False,False,,3.232775286229481,scene-0305
99,0,4,19,37,False,False,,4.8866935360363,scene-0305
99,2,4,22,37,False,False,,7.4705983273006,scene-0305
1,0,4,19,34,False,False,,29.84246222678513,scene-0305
1,2,4,22,34,False,False,,44.86058433125035,scene-0305
0,2,4,22,37,False,False,,14.858445648910628,scene-0305
99,3,7,1,31,True,True,6,18.67619251028991,scene-0306
99,0,7,1,22,False,False,,16.330501410842146,scene-0306
99,5,7,1,17,False,False,,29.899797304488644,scene-0306
99,1,7,3,31,False,False,,32.787789619794054,scene-0306
99,4,7,4,17,False,False,,15.404958981359078,scene-0306
99,2,7,12,27,False,False,,33.32393089609215,scene-0306
3,0,7,1,22,False,False,,56.0676991158097,scene-0306
3,5,7,1,17,False,False,,69.8354881580277,scene-0306
3,1,7,3,31,True,True,5,10.423660414920677,scene-0306
3,4,7,4,17,False,False,,11.497109071968707,scene-0306
3,2,7,12,27,False,False,,32.97519923356978,scene-0306
0,5,7,1,17,False,False,,11.896879664636353,scene-0306
0,1,7,3,22,False,False,,73.74897508596015,scene-0306
0,4,7,4,17,False,False,,12.619252213476509,scene-0306
0,2,7,12,22,False,False,,27.334356768143984,scene-0306
5,1,7,3,17,False,False,,89.6306573774458,scene-0306
5,4,7,4,17,False,False,,15.92601314017495,scene-0306
5,2,7,12,17,False,False,,33.99199827830227,scene-0306
1,4,7,4,17,False,False,,14.464333535621279,scene-0306
1,2,7,12,27,False,False,,41.38064133870465,scene-0306
4,2,7,12,17,False,False,,64.93800383845975,scene-0306
99,3,5,1,36,False,False,,14.845865683737719,scene-0315
99,0,5,1,12,False,False,,3.4751293450159895,scene-0315
99,2,5,1,16,False,False,,3.7641770342064707,scene-0315
99,1,5,15,36,False,False,,53.409111632695236,scene-0315
3,0,5,1,12,False,False,,3.2052137594737853,scene-0315
3,2,5,1,16,False,False,,3.7004720017095387,scene-0315
3,1,5,15,36,False,False,,31.357665292845873,scene-0315
0,2,5,1,12,False,False,,13.372395180603451,scene-0315
99,0,4,1,13,False,False,,25.445189448952856,scene-0316
99,2,4,1,37,False,False,,14.520697078129416,scene-0316
99,1,4,1,37,False,False,,75.85458422305767,scene-0316
0,2,4,1,13,False,False,,9.962141762285066,scene-0316
0,1,4,1,13,False,False,,23.239318185570532,scene-0316
2,1,4,1,37,True,True,11,33.69503393330042,scene-0316
99,1,3,1,36,False,False,,9.97152476890399,scene-0317
99,0,3,1,36,False,False,,19.247234793785758,scene-0317
1,0,3,1,36,False,False,,29.004406842172802,scene-0317
99,1,5,1,20,False,True,15,3.303184396983185,scene-0318
99,2,5,1,36,False,False,,16.79757530393738,scene-0318
99,3,5,1,36,False,False,,10.545133687312179,scene-0318
99,0,5,14,36,False,False,,4.373776505269431,scene-0318
1,2,5,1,20,True,True,11,4.263237749314308,scene-0318
1,3,5,1,20,False,False,,3.3335618552637,scene-0318
1,0,5,14,20,False,False,,46.487342001888365,scene-0318
2,3,5,1,36,True,True,5,6.883766399026323,scene-0318
2,0,5,14,36,False,False,,9.825809513971018,scene-0318
3,0,5,14,36,False,False,,3.996011627472991,scene-0318
99,4,10,1,37,False,False,,8.487807312859841,scene-0321
99,1,10,1,37,False,False,,3.07245195506425,scene-0321
99,7,10,1,31,False,False,,6.793475265440073,scene-0321
99,5,10,2,37,False,False,,3.8719568858905125,scene-0321
99,6,10,3,37,False,False,,6.738524157803627,scene-0321
99,2,10,4,16,False,False,,39.471790368965884,scene-0321
99,8,10,5,37,False,False,,12.306774055091847,scene-0321
99,3,10,16,35,False,False,,12.640459653918564,scene-0321
99,0,10,23,37,False,False,,12.671900532222853,scene-0321
4,1,10,1,37,False,False,,5.99758574720244,scene-0321
4,7,10,1,31,False,False,,11.051770657138114,scene-0321
4,5,10,2,37,False,False,,17.349572536056215,scene-0321
4,6,10,3,37,False,False,,14.901865774266282,scene-0321
4,2,10,4,16,False,False,,31.324472957701783,scene-0321
4,8,10,5,37,False,False,,9.404877302628346,scene-0321
4,3,10,16,35,False,False,,9.705599064624876,scene-0321
4,0,10,23,37,False,False,,9.099799973423359,scene-0321
1,7,10,1,31,False,False,,3.798555280992675,scene-0321
1,5,10,2,37,False,False,,10.613583431638451,scene-0321
1,6,10,3,37,False,False,,9.073033493116869,scene-0321
1,2,10,4,16,False,False,,36.15132629182827,scene-0321
1,8,10,5,37,False,False,,9.45529940006811,scene-0321
1,3,10,16,35,False,False,,9.576782636808787,scene-0321
1,0,10,23,37,False,False,,9.217200211197417,scene-0321
7,5,10,2,31,False,False,,3.1383486653371055,scene-0321
7,6,10,3,31,False,False,,6.416299023377192,scene-0321
7,2,10,4,16,False,False,,43.49334213796297,scene-0321
7,8,10,5,31,False,False,,12.507026260898567,scene-0321
7,3,10,16,31,False,False,,33.448491061110175,scene-0321
7,0,10,23,31,False,False,,52.064788390080146,scene-0321
5,6,10,3,37,False,False,,3.3318827418228625,scene-0321
5,2,10,4,16,False,False,,45.797471987120545,scene-0321
5,8,10,5,37,False,False,,9.402010635644947,scene-0321
5,3,10,16,35,False,False,,9.539636682355143,scene-0321
5,0,10,23,37,False,False,,9.006973429870026,scene-0321
6,2,10,4,16,False,False,,44.94697713065212,scene-0321
6,8,10,5,37,False,False,,12.725201564332659,scene-0321
6,3,10,16,35,False,False,,12.990780657481952,scene-0321
6,0,10,23,37,False,False,,12.461672837979423,scene-0321
2,8,10,5,16,False,False,,36.75750188179403,scene-0321
8,3,10,16,35,False,False,,12.54827629924407,scene-0321
8,0,10,23,37,False,False,,28.600154724840472,scene-0321
3,0,10,23,35,False,False,,12.636901774547635,scene-0321
99,2,7,1,28,False,False,,32.24347265324449,scene-0323
99,3,7,1,20,False,False,,20.253581960821602,scene-0323
99,5,7,3,27,False,False,,3.9347015280063586,scene-0323
99,4,7,8,20,False,False,,29.14977719094405,scene-0323
99,0,7,12,34,False,False,,40.291387011326556,scene-0323
99,1,7,18,37,False,False,,44.257885774827855,scene-0323
2,3,7,1,20,False,False,,12.101965323148953,scene-0323
2,5,7,3,27,False,False,,42.99900975696644,scene-0323
2,4,7,8,20,False,False,,68.7787533785922,scene-0323
2,0,7,12,28,False,False,,105.74084511348016,scene-0323
2,1,7,18,28,False,False,,121.62601977158492,scene-0323
3,5,7,3,20,False,False,,44.312584936800114,scene-0323
3,4,7,8,20,False,False,,53.077321287797595,scene-0323
3,0,7,12,20,False,False,,89.39992906746279,scene-0323
3,1,7,18,20,False,False,,105.95875080538492,scene-0323
5,4,7,8,20,False,False,,12.329586202481861,scene-0323
5,0,7,12,27,False,False,,48.63037610911239,scene-0323
5,1,7,18,27,False,False,,69.26681652659468,scene-0323
4,0,7,12,20,False,False,,18.866488041944137,scene-0323
4,1,7,18,20,False,False,,40.0658237246984,scene-0323
0,1,7,18,34,False,False,,7.025860903064224,scene-0323
99,0,6,1,37,False,False,,7.775544025150862,scene-0324
99,4,6,6,19,False,False,,12.401620025069972,scene-0324
99,2,6,8,25,False,False,,33.12742584816281,scene-0324
99,3,6,10,37,False,False,,16.312797621888482,scene-0324
99,1,6,12,35,False,False,,45.24498011363744,scene-0324
0,4,6,6,19,False,False,,11.598907493004077,scene-0324
0,2,6,8,25,False,False,,44.08164227186855,scene-0324
0,3,6,10,37,False,False,,26.44755782712575,scene-0324
0,1,6,12,35,False,False,,56.672452015544984,scene-0324
4,2,6,8,19,False,False,,45.77128655480638,scene-0324
4,3,6,10,19,False,False,,43.231189870503,scene-0324
4,1,6,12,19,False,False,,75.69643288215426,scene-0324
2,3,6,10,25,False,False,,12.807225295894554,scene-0324
2,1,6,12,25,False,False,,9.430991708373503,scene-0324
3,1,6,12,35,False,False,,21.120564321394742,scene-0324
99,0,3,1,36,False,False,,12.044381919159454,scene-0328
99,1,3,24,36,False,False,,18.376158137770908,scene-0328
0,1,3,24,36,False,False,,16.429796110584174,scene-0328
99,0,2,1,23,False,False,,18.56110226110222,scene-0347
99,0,5,1,13,False,False,,7.492709039956756,scene-0348
99,3,5,1,37,False,False,,7.205042542700364,scene-0348
99,2,5,1,16,False,False,,10.644825031181131,scene-0348
99,1,5,14,27,False,True,17,51.56983463435506,scene-0348
0,3,5,1,13,False,False,,7.7935791492783855,scene-0348
0,2,5,1,13,False,False,,14.635421681495524,scene-0348
3,2,5,1,16,False,False,,6.759797132827048,scene-0348
3,1,5,14,27,True,True,10,23.619210126029046,scene-0348
2,1,5,14,16,False,False,,14.63416608995899,scene-0348
99,1,4,1,26,False,False,,3.9626395073107377,scene-0350
99,0,4,1,15,False,False,,3.3389716152965856,scene-0350
99,2,4,4,26,False,False,,42.98986713165385,scene-0350
1,0,4,1,15,False,True,18,6.3650229642207306,scene-0350
1,2,4,4,26,False,False,,52.42347741400538,scene-0350
0,2,4,4,15,False,False,,78.41435458865949,scene-0350
99,1,3,1,37,False,False,,21.803191496658407,scene-0351
99,0,3,13,37,False,False,,3.539029650747497,scene-0351
1,0,3,13,37,False,True,26,5.84906702148069,scene-0351
99,0,2,1,38,False,False,,39.60896891723414,scene-0352
99,1,6,1,21,False,False,,19.521024236651872,scene-0353
99,0,6,1,15,False,False,,20.16147497142696,scene-0353
99,4,6,1,15,False,False,,9.725224418214292,scene-0353
99,2,6,1,36,False,False,,3.462594757629708,scene-0353
99,3,6,20,36,False,False,,37.33150874130013,scene-0353
1,0,6,1,15,False,False,,26.011130368088246,scene-0353
1,4,6,1,15,False,False,,9.818392131296232,scene-0353
1,2,6,1,21,False,False,,17.269529185287432,scene-0353
0,4,6,1,15,False,False,,11.997972759643277,scene-0353
0,2,6,1,15,False,False,,23.645259403002648,scene-0353
4,2,6,1,15,False,False,,7.9983627864782045,scene-0353
2,3,6,20,36,False,False,,46.67065193693226,scene-0353
99,1,3,1,33,True,True,3,3.3395932523302534,scene-0354
99,0,3,6,18,False,False,,9.531574616268651,scene-0354
1,0,3,6,18,False,False,,6.795443676342816,scene-0354
99,7,9,1,30,False,False,,25.257293697484535,scene-0355
99,1,9,1,16,False,False,,66.05299526429872,scene-0355
99,4,9,2,31,False,False,,29.992275052155225,scene-0355
99,3,9,7,30,False,False,,5.270217134023936,scene-0355
99,6,9,13,36,False,False,,6.310056936247899,scene-0355
99,2,9,16,36,False,False,,8.707705321528085,scene-0355
99,0,9,16,33,False,False,,37.327909953443815,scene-0355
99,5,9,23,36,False,False,,10.1503540928495,scene-0355
7,1,9,1,16,False,False,,38.43783928315718,scene-0355
7,4,9,2,30,False,False,,60.87534849592527,scene-0355
7,3,9,7,30,False,False,,10.90000048666345,scene-0355
7,6,9,13,30,False,False,,31.91749401677043,scene-0355
7,2,9,16,30,False,False,,38.34387429021405,scene-0355
7,0,9,16,30,False,False,,20.07565930900978,scene-0355
7,5,9,23,30,False,False,,12.736226151729323,scene-0355
1,4,9,2,16,False,False,,100.26318154673062,scene-0355
1,3,9,7,16,False,False,,13.535499529318015,scene-0355
1,6,9,13,16,False,False,,98.48076802094349,scene-0355
4,3,9,7,30,False,False,,6.0594458127354445,scene-0355
4,6,9,13,31,False,False,,3.4596799142814754,scene-0355
4,2,9,16,31,False,False,,19.990141968753466,scene-0355
4,0,9,16,31,False,False,,74.24120900632809,scene-0355
4,5,9,23,31,False,False,,65.6132982058229,scene-0355
3,6,9,13,30,False,False,,9.601653782464556,scene-0355
3,2,9,16,30,False,False,,5.08468545301526,scene-0355
3,0,9,16,30,True,True,12,26.148928254716317,scene-0355
3,5,9,23,30,False,False,,57.757477330330914,scene-0355
6,2,9,16,36,False,False,,4.518476981192965,scene-0355
6,0,9,16,33,False,False,,41.95585000460199,scene-0355
6,5,9,23,36,False,False,,15.431244481516616,scene-0355
2,0,9,16,33,False,False,,48.467829653029476,scene-0355
2,5,9,23,36,False,False,,20.852688297704564,scene-0355
0,5,9,23,33,False,False,,6.46823310636952,scene-0355
99,2,17,1,28,False,False,,31.92453809198785,scene-0356
99,9,17,1,20,False,False,,18.911703165126486,scene-0356
99,6,17,1,20,False,False,,6.94219604809758,scene-0356
99,11,17,1,14,False,False,,6.708585152732134,scene-0356
99,5,17,1,36,False,False,,8.257589006963418,scene-0356
99,8,17,1,29,False,False,,8.636047440892469,scene-0356
99,0,17,1,36,False,False,,8.729208434586766,scene-0356
99,12,17,1,30,False,False,,24.983632092169273,scene-0356
99,10,17,3,36,False,False,,8.55495236015736,scene-0356
99,3,17,6,29,False,True,17,18.036892710563226,scene-0356
99,13,17,6,36,False,False,,9.226886064121334,scene-0356
99,1,17,6,28,False,False,,23.862540968401717,scene-0356
99,14,17,6,20,False,False,,21.227186637754905,scene-0356
99,7,17,6,36,False,False,,24.33256532625216,scene-0356
99,15,17,20,36,False,False,,38.00226971836391,scene-0356
99,4,17,22,36,False,False,,19.992994128315434,scene-0356
2,9,17,1,20,False,False,,62.724548007106854,scene-0356
2,6,17,1,20,False,False,,33.956283791580006,scene-0356
2,11,17,1,14,False,False,,10.143271985013913,scene-0356
2,5,17,1,28,False,False,,11.730221798978345,scene-0356
2,8,17,1,28,False,False,,12.496066279886376,scene-0356
2,0,17,1,28,False,False,,36.85518544932961,scene-0356
2,12,17,1,28,False,False,,69.37322928650805,scene-0356
2,10,17,3,28,False,False,,14.77988754478459,scene-0356
2,3,17,6,28,False,False,,14.943498550524055,scene-0356
2,13,17,6,28,False,False,,37.570200085030415,scene-0356
2,1,17,6,28,False,False,,66.67488345602126,scene-0356
2,14,17,6,20,False,False,,62.58474223045462,scene-0356
2,7,17,6,28,False,False,,61.40895567538235,scene-0356
2,15,17,20,28,False,False,,70.78236194133507,scene-0356
2,4,17,22,28,False,False,,63.1625797595662,scene-0356
9,6,17,1,20,False,False,,29.603401711381856,scene-0356
9,11,17,1,14,False,False,,42.77855121457242,scene-0356
9,5,17,1,20,False,False,,18.487755492633614,scene-0356
9,8,17,1,20,False,False,,8.330160116250541,scene-0356
9,0,17,1,20,False,False,,17.104759202027843,scene-0356
9,12,17,1,20,False,False,,18.783957274582583,scene-0356
9,10,17,3,20,False,False,,17.823358823927485,scene-0356
9,3,17,6,20,False,False,,44.06463551655807,scene-0356
9,13,17,6,20,False,False,,52.733418428584336,scene-0356
9,1,17,6,20,False,False,,2.8220957543637217,scene-0356
9,14,17,6,20,False,False,,5.433430852391888,scene-0356
9,7,17,6,20,False,False,,3.144149174350099,scene-0356
6,11,17,1,14,False,False,,6.013680572664538,scene-0356
6,5,17,1,20,False,False,,6.873141547427353,scene-0356
6,8,17,1,20,False,False,,6.715190376802046,scene-0356
6,0,17,1,20,False,False,,14.478916135689238,scene-0356
6,12,17,1,20,False,False,,36.105691726644125,scene-0356
6,10,17,3,20,False,False,,12.000437911824212,scene-0356
6,3,17,6,20,False,False,,12.873119022652094,scene-0356
6,13,17,6,20,False,False,,30.763511854776127,scene-0356
6,1,17,6,20,False,False,,30.950157330056715,scene-0356
6,14,17,6,20,False,False,,32.17753189867432,scene-0356
6,7,17,6,20,False,False,,31.000181734341595,scene-0356
11,5,17,1,14,False,False,,15.506359062138976,scene-0356
11,8,17,1,14,False,False,,23.977980562315498,scene-0356
11,0,17,1,14,False,False,,16.21604615481808,scene-0356
11,12,17,1,14,False,False,,28.769412309964174,scene-0356
11,10,17,3,14,False,False,,50.858687715032396,scene-0356
11,3,17,6,14,False,False,,5.177112953498172,scene-0356
11,13,17,6,14,False,False,,72.08305408324928,scene-0356
11,1,17,6,14,False,False,,40.71555807536171,scene-0356
11,14,17,6,14,False,False,,37.61813272059117,scene-0356
11,7,17,6,14,False,False,,43.515367886857646,scene-0356
5,8,17,1,29,False,False,,9.606748289044296,scene-0356
5,0,17,1,36,False,False,,20.607568855564118,scene-0356
5,12,17,1,30,False,False,,10.827975380298687,scene-0356
5,10,17,3,36,False,False,,25.85210091523607,scene-0356
5,3,17,6,29,False,False,,6.566238753783336,scene-0356
5,13,17,6,36,False,False,,43.67719037596068,scene-0356
5,1,17,6,28,False,False,,17.76047487855323,scene-0356
5,14,17,6,20,False,False,,14.650034151449661,scene-0356
5,7,17,6,36,False,False,,21.143238146569328,scene-0356
5,15,17,20,36,False,False,,63.89370388832944,scene-0356
5,4,17,22,36,False,True,35,75.97424456210835,scene-0356
8,0,17,1,29,False,False,,20.376053537903953,scene-0356
8,12,17,1,29,False,False,,6.653410092544052,scene-0356
8,10,17,3,29,False,False,,11.448678062829233,scene-0356
8,3,17,6,29,False,False,,5.922037052542241,scene-0356
8,13,17,6,29,False,False,,30.289164271308483,scene-0356
8,1,17,6,28,False,False,,12.673199563492071,scene-0356
8,14,17,6,20,False,False,,10.56426706800842,scene-0356
8,7,17,6,29,False,False,,11.113126684339173,scene-0356
8,15,17,20,29,False,False,,45.25360474122813,scene-0356
8,4,17,22,29,False,False,,61.49697613981507,scene-0356
0,12,17,1,30,False,False,,17.311263314837092,scene-0356
0,10,17,3,36,False,False,,20.771055404603285,scene-0356
0,3,17,6,29,False,False,,23.339838555387296,scene-0356
0,13,17,6,36,False,False,,27.045535246240224,scene-0356
0,1,17,6,28,False,False,,29.59851977401535,scene-0356
0,14,17,6,20,False,False,,17.2610167306705,scene-0356
0,7,17,6,36,False,False,,29.467657425232513,scene-0356
0,15,17,20,36,False,False,,45.146069957894824,scene-0356
0,4,17,22,36,False,False,,39.31708281476647,scene-0356
12,10,17,3,30,False,False,,45.11549747291775,scene-0356
12,3,17,6,29,False,False,,49.94342989595909,scene-0356
12,13,17,6,30,False,False,,73.65484545133485,scene-0356
12,1,17,6,28,False,False,,14.563451943095016,scene-0356
12,14,17,6,20,False,False,,10.939700747368935,scene-0356
12,7,17,6,30,False,False,,22.574087856809818,scene-0356
12,15,17,20,30,False,False,,70.71180315923975,scene-0356
12,4,17,22,30,False,False,,118.49925310091207,scene-0356
10,3,17,6,29,False,False,,5.875054775209178,scene-0356
10,13,17,6,36,False,False,,18.782631374637475,scene-0356
10,1,17,6,28,False,False,,13.386372713727813,scene-0356
10,14,17,6,20,False,False,,33.102562731688174,scene-0356
10,7,17,6,36,False,False,,10.724320714793286,scene-0356
10,15,17,20,36,False,False,,31.359897335712635,scene-0356
10,4,17,22,36,False,False,,48.724178031537825,scene-0356
3,13,17,6,29,False,False,,20.580798150937326,scene-0356
3,1,17,6,28,False,False,,44.74279801096398,scene-0356
3,14,17,6,20,False,False,,46.06828349796949,scene-0356
3,7,17,6,29,False,False,,42.31529052081841,scene-0356
3,15,17,20,29,False,False,,54.14911290463758,scene-0356
3,4,17,22,29,False,False,,46.781480909259756,scene-0356
13,1,17,6,28,False,False,,25.527903281702173,scene-0356
13,14,17,6,20,False,False,,60.60473330701076,scene-0356
13,7,17,6,36,False,False,,16.577114238450896,scene-0356
13,15,17,20,36,False,False,,21.023531593873034,scene-0356
13,4,17,22,36,False,False,,25.92754896311369,scene-0356
1,14,17,6,20,False,False,,3.1937605965976483,scene-0356
1,7,17,6,28,False,False,,7.127301709723703,scene-0356
1,15,17,20,28,False,False,,16.38707082322453,scene-0356
1,4,17,22,28,False,False,,56.74797984343118,scene-0356
14,7,17,6,20,False,False,,8.762280441544243,scene-0356
7,15,17,20,36,False,False,,12.502169511546725,scene-0356
7,4,17,22,36,False,False,,47.13974686021265,scene-0356
15,4,17,22,36,False,False,,16.166265037142175,scene-0356
99,4,9,1,31,False,False,,10.986695152609794,scene-0357
99,5,9,1,37,False,False,,8.457608786953765,scene-0357
99,7,9,1,25,False,False,,30.952016307273773,scene-0357
99,6,9,1,37,False,False,,24.052042320434662,scene-0357
99,1,9,1,14,False,False,,25.63738265333842,scene-0357
99,2,9,1,24,False,False,,8.625954811343936,scene-0357
99,3,9,1,16,False,False,,10.719292004348596,scene-0357
99,0,9,5,37,False,False,,18.569219359664643,scene-0357
4,5,9,1,31,False,False,,34.404978447182465,scene-0357
4,7,9,1,25,False,False,,15.750533201945519,scene-0357
4,6,9,1,31,False,False,,44.65965943372743,scene-0357
4,1,9,1,14,False,False,,29.828957817879008,scene-0357
4,2,9,1,24,False,False,,14.391634376993489,scene-0357
4,3,9,1,16,False,False,,14.425952516269218,scene-0357
4,0,9,5,31,False,False,,42.16777169564529,scene-0357
5,7,9,1,25,False,False,,54.88421333700693,scene-0357
5,6,9,1,37,False,False,,36.68821247401732,scene-0357
5,1,9,1,14,False,False,,55.3530708301309,scene-0357
5,2,9,1,24,False,False,,31.766900394189477,scene-0357
5,3,9,1,16,False,False,,37.089704798711004,scene-0357
5,0,9,5,37,False,False,,7.093044394005607,scene-0357
7,6,9,1,25,False,False,,53.579024895695134,scene-0357
7,1,9,1,14,False,False,,51.33254895777614,scene-0357
7,2,9,1,24,False,False,,23.93489869110491,scene-0357
7,3,9,1,16,False,False,,13.821363435938709,scene-0357
7,0,9,5,25,False,False,,72.57097700580475,scene-0357
6,1,9,1,14,False,False,,29.515268935055197,scene-0357
6,2,9,1,24,False,False,,23.84222701505303,scene-0357
6,3,9,1,16,False,False,,31.13389191582544,scene-0357
6,0,9,5,37,False,False,,67.57812499496168,scene-0357
1,2,9,1,14,False,False,,34.12775947699076,scene-0357
1,3,9,1,14,False,False,,35.9544644805138,scene-0357
1,0,9,5,14,False,False,,86.61773192633493,scene-0357
2,3,9,1,16,False,False,,7.617521304678165,scene-0357
2,0,9,5,24,False,False,,52.19946388726637,scene-0357
3,0,9,5,16,False,False,,60.0137283952451,scene-0357
99,5,9,1,25,False,False,,8.947923799385562,scene-0358
99,0,9,1,13,False,False,,14.460339342814395,scene-0358
99,4,9,1,16,False,False,,8.201193618373134,scene-0358
99,1,9,2,30,False,False,,57.89310301307907,scene-0358
99,6,9,17,37,False,False,,10.748518142780743,scene-0358
99,7,9,19,37,False,False,,29.532956559851872,scene-0358
99,3,9,20,37,False,False,,39.098242941435466,scene-0358
99,2,9,22,37,False,False,,40.48851889299255,scene-0358
5,0,9,1,13,False,False,,14.207200345592648,scene-0358
5,4,9,1,16,False,False,,10.938941267363322,scene-0358
5,1,9,2,25,False,False,,84.94097738502552,scene-0358
5,6,9,17,25,False,False,,10.329691045032323,scene-0358
5,7,9,19,25,False,False,,86.90578859229713,scene-0358
5,3,9,20,25,False,False,,95.23604952171361,scene-0358
